gameId	code	displayName	category	family	regionScope	provinceCode	cityCode	version	enabled	sourceModule
309	a3pk	A3PK	POKER	poker-pao-de-kuai	PROVINCE	guangxi		1.0.0	0	A3PK
400	afmj	AFMJ	MAHJONG	mahjong-lai-zi	PROVINCE	jiangxi		1.0.0	0	AFMJ
377	ahhbmj	AHHBMJ	MAHJONG	mahjong-standard	PROVINCE	anhui		1.0.0	0	AHHBMJ
273	ahhnmj	AHHNMJ	MAHJONG	mahjong-standard	PROVINCE	anhui		1.0.0	0	AHHNMJ
175	ahmj	AHMJ	MAHJONG	mahjong-standard	PROVINCE	hunan		1.0.0	0	AHMJ
176	ahphz	AHPHZ	WORD_CARD	word-card-pao-hu-zi	PROVINCE	hunan		1.0.0	0	AHPHZ
255	ak159mj	AK159MJ	MAHJONG	mahjong-lai-zi	PROVINCE	shanxisheng		1.0.0	0	AK159MJ
233	aqmj	AQMJ	MAHJONG	mahjong-standard	PROVINCE	anhui		1.0.0	0	AQMJ
408	asmj	ASMJ	MAHJONG	mahjong-lai-zi	PROVINCE	guizhou		1.0.0	0	ASMJ
138	aycp	AYCP	LONG_CARD	long-card-regional	PROVINCE	sichuan		1.0.0	0	AYCP
80	aydss	AYDSS	LONG_CARD	long-card-regional	PROVINCE	sichuan		1.0.0	1	AYDSS
81	aymj	AYMJ	MAHJONG	mahjong-xue-zhan	PROVINCE	sichuan		1.0.0	1	AYMJ
78	aypdk	AYPDK	POKER	poker-pao-de-kuai	PROVINCE	sichuan		1.0.0	1	AYPDK
364	bamj	BAMJ	MAHJONG	mahjong-lai-zi	PROVINCE	henan		1.0.0	0	BAMJ
622	bdjhmj	BDJHMJ	MAHJONG	mahjong-standard	PROVINCE	guangdong		1.0.0	1	BDJHMJ
46	bdmj	BDMJ	MAHJONG	mahjong-tui-dao-hu	PROVINCE	hebei		1.0.0	1	BDMJ
96	bdyxmj	BDYXMJ	MAHJONG	mahjong-lai-zi	PROVINCE	hebei		1.0.0	1	BDYXMJ
387	bfmj	BFMJ	MAHJONG	mahjong-lai-zi	PROVINCE	henan		1.0.0	0	BFMJ
65	bjpk	BJPK	POKER	poker-pao-de-kuai	PROVINCE	jiangsu		1.0.0	0	BJPK
282	bp	BP	POKER	poker-pao-de-kuai	PROVINCE	jiangxi		1.0.0	0	BP
458	bsl	BSL	POKER	poker-pao-de-kuai	PROVINCE	fujian		1.0.0	1	BSL
459	bsmj	BSMJ	MAHJONG	mahjong-standard	PROVINCE	guangxi		1.0.0	1	BSMJ
52	bw	BW	POKER	poker-pao-de-kuai	PROVINCE	jiangxi		1.0.0	1	BW
455	bxmd	BXMD	POKER	poker-pao-de-kuai	PROVINCE	liaoning		1.0.0	1	BXMD
136	byzp	BYZP	WORD_CARD	word-card-pao-hu-zi	PROVINCE	guangxi		1.0.0	1	BYZP
189	bzmj	BZMJ	MAHJONG	mahjong-standard	PROVINCE	anhui		1.0.0	0	BZMJ
462	bzp	BZP	WORD_CARD	word-card-pao-hu-zi	PROVINCE	guizhou		1.0.0	1	BZP
306	bzpdk	BZPDK	POKER	poker-pao-de-kuai	PROVINCE	anhui		1.0.0	0	BZPDK
195	bzqzmj	BZQZMJ	MAHJONG	mahjong-standard	PROVINCE	anhui		1.0.0	0	BZQZMJ
307	bztdh	BZTDH	MAHJONG	mahjong-standard	PROVINCE	anhui		1.0.0	0	BZTDH
238	caooszmj	CaooSZMJ	MAHJONG	mahjong-xue-zhan	PROVINCE	chongqing		1.0.0	0	CQHSZMJ
552	cbdg	CBDG	POKER	poker-pao-de-kuai	PROVINCE	hubei		1.0.0	1	CBDG
190	ccmj	CCMJ	MAHJONG	mahjong-standard	PROVINCE	jilin		1.0.0	0	CCMJ
475	cdp	CDP	POKER	poker-pao-de-kuai	PROVINCE	hunan		1.0.0	1	CDP
516	cdxzmj	成都血战麻将	MAHJONG	mahjong-xue-zhan	CITY	SC	CD	legacy-equivalent-1	1	CDXZMJ
58	chmj	CHMJ	MAHJONG	mahjong-standard	PROVINCE	anhui		1.0.0	1	CHMJ
532	cnmj	CNMJ	MAHJONG	mahjong-xue-liu	PROVINCE	shanghai		1.0.0	1	CNMJ
392	cp	CP	POKER	poker-510k	PROVINCE	chongqing		1.0.0	0	CP
394	cqcp	CQCP	POKER	poker-trick-taking	PROVINCE	chongqing		1.0.0	0	CQCP
40	csmj	CSMJ	MAHJONG	mahjong-standard	PROVINCE	jiangsu		1.0.0	0	CSMJ
415	ctpk	CTPK	POKER	poker-pao-de-kuai	PROVINCE	yunnan		1.0.0	1	CTPK
141	ctwsk	CTWSK	POKER	poker-pao-de-kuai	PROVINCE	fujian		1.0.0	0	CTWSK
213	cxmj	CXMJ	MAHJONG	mahjong-standard	PROVINCE	hunan		1.0.0	0	CXMJ
453	cxyxmj	CXYXMJ	MAHJONG	mahjong-standard	PROVINCE	yunnan		1.0.0	1	CXYXMJ
399	cylymj	CYLYMJ	MAHJONG	mahjong-lai-zi	PROVINCE	liaoning		1.0.0	0	CYLYMJ
397	czczmj	CZCZMJ	MAHJONG	mahjong-lai-zi	PROVINCE	anhui		1.0.0	0	CZCZMJ
391	czdzmj	CZDZMJ	MAHJONG	mahjong-standard	PROVINCE	anhui		1.0.0	0	CZDZMJ
144	czmj	CZMJ	MAHJONG	mahjong-standard	PROVINCE	hubei		1.0.0	0	CZMJ
140	dcts	DCTS	POKER	poker-pao-de-kuai	PROVINCE	jiangxi		1.0.0	0	DCTS
125	dcwdmj	DCWDMJ	MAHJONG	mahjong-lai-zi	PROVINCE	jiangxi		1.0.0	1	DCWDMJ
124	dczbmj	DCZBMJ	MAHJONG	mahjong-lai-zi	PROVINCE	jiangxi		1.0.0	1	DCZBMJ
261	dd	DD	POKER	poker-pao-de-kuai	PROVINCE	jiangxi		1.0.0	0	DD
479	dda	DDA	POKER	poker-pao-de-kuai	PROVINCE	neimenggu		1.0.0	1	DDA
31	ddz	DDZ	POKER	poker-pao-de-kuai	NATIONAL			1.0.0	1	DDZ
201	demomj	DEMOMJ	MAHJONG	mahjong-xue-zhan	NATIONAL			1.0.0	0	DEMOMJ
509	dglz	DGLZ	POKER	poker-pao-de-kuai	PROVINCE	shanghai		1.0.0	1	DGLZ
132	dhd	DHD	POKER	poker-pao-de-kuai	PROVINCE	fujian		1.0.0	1	DHD
