module	javaFiles	category	family	evidenceScores
A3PK	112	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:443,LONG_CARD:0,WORD_CARD:0
AFMJ	108	MAHJONG	mahjong-lai-zi	MAHJONG:539,POKER:0,LONG_CARD:0,WORD_CARD:6
AHHBMJ	110	MAHJONG	mahjong-standard	MAHJONG:396,POKER:0,LONG_CARD:0,WORD_CARD:0
AHHNMJ	102	MAHJONG	mahjong-standard	MAHJONG:394,POKER:0,LONG_CARD:0,WORD_CARD:0
AHMJ	119	MAHJONG	mahjong-standard	MAHJONG:462,POKER:0,LONG_CARD:0,WORD_CARD:0
AHPHZ	125	WORD_CARD	word-card-pao-hu-zi	MAHJONG:286,POKER:0,LONG_CARD:4,WORD_CARD:168
AK159MJ	100	MAHJONG	mahjong-lai-zi	MAHJONG:317,POKER:0,LONG_CARD:0,WORD_CARD:0
AQMJ	103	MAHJONG	mahjong-standard	MAHJONG:393,POKER:0,LONG_CARD:0,WORD_CARD:0
ASMJ	110	MAHJONG	mahjong-lai-zi	MAHJONG:435,POKER:0,LONG_CARD:0,WORD_CARD:0
AYCP	102	LONG_CARD	long-card-regional	MAHJONG:271,POKER:31,LONG_CARD:232,WORD_CARD:0
AYDSS	114	LONG_CARD	long-card-regional	MAHJONG:298,POKER:114,LONG_CARD:375,WORD_CARD:0
AYMJ	104	MAHJONG	mahjong-xue-zhan	MAHJONG:448,POKER:0,LONG_CARD:0,WORD_CARD:0
AYPDK	114	POKER	poker-pao-de-kuai	MAHJONG:3,POKER:135,LONG_CARD:0,WORD_CARD:0
BAMJ	107	MAHJONG	mahjong-lai-zi	MAHJONG:488,POKER:0,LONG_CARD:0,WORD_CARD:0
BDJHMJ	99	MAHJONG	mahjong-standard	MAHJONG:386,POKER:0,LONG_CARD:0,WORD_CARD:0
BDMJ	91	MAHJONG	mahjong-tui-dao-hu	MAHJONG:384,POKER:0,LONG_CARD:0,WORD_CARD:0
BDYXMJ	88	MAHJONG	mahjong-lai-zi	MAHJONG:283,POKER:0,LONG_CARD:0,WORD_CARD:0
BFMJ	107	MAHJONG	mahjong-lai-zi	MAHJONG:481,POKER:0,LONG_CARD:0,WORD_CARD:0
BJPK	134	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:357,LONG_CARD:0,WORD_CARD:0
BP	113	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:186,LONG_CARD:0,WORD_CARD:0
BSL	103	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:141,LONG_CARD:0,WORD_CARD:0
BSMJ	91	MAHJONG	mahjong-standard	MAHJONG:310,POKER:0,LONG_CARD:0,WORD_CARD:0
BW	132	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:618,LONG_CARD:0,WORD_CARD:0
BXMD	109	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:184,LONG_CARD:0,WORD_CARD:0
BYZP	105	WORD_CARD	word-card-pao-hu-zi	MAHJONG:287,POKER:1,LONG_CARD:4,WORD_CARD:145
BZMJ	105	MAHJONG	mahjong-standard	MAHJONG:410,POKER:0,LONG_CARD:0,WORD_CARD:0
BZP	114	WORD_CARD	word-card-pao-hu-zi	MAHJONG:0,POKER:283,LONG_CARD:0,WORD_CARD:328
BZPDK	105	POKER	poker-pao-de-kuai	MAHJONG:1,POKER:174,LONG_CARD:0,WORD_CARD:0
BZQZMJ	107	MAHJONG	mahjong-standard	MAHJONG:426,POKER:0,LONG_CARD:0,WORD_CARD:0
BZTDH	103	MAHJONG	mahjong-standard	MAHJONG:233,POKER:0,LONG_CARD:0,WORD_CARD:0
CBDG	122	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:308,LONG_CARD:0,WORD_CARD:0
CCMJ	98	MAHJONG	mahjong-standard	MAHJONG:421,POKER:0,LONG_CARD:0,WORD_CARD:0
CDP	118	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:230,LONG_CARD:0,WORD_CARD:0
CDXZMJ	92	MAHJONG	mahjong-xue-zhan	MAHJONG:282,POKER:0,LONG_CARD:0,WORD_CARD:0
CHMJ	83	MAHJONG	mahjong-standard	MAHJONG:237,POKER:0,LONG_CARD:0,WORD_CARD:0
CNMJ	100	MAHJONG	mahjong-xue-liu	MAHJONG:414,POKER:0,LONG_CARD:0,WORD_CARD:0
CP	117	POKER	poker-510k	MAHJONG:4,POKER:251,LONG_CARD:145,WORD_CARD:0
CQCP	110	POKER	poker-trick-taking	MAHJONG:0,POKER:158,LONG_CARD:250,WORD_CARD:0
CQHSZMJ	107	MAHJONG	mahjong-xue-zhan	MAHJONG:517,POKER:0,LONG_CARD:0,WORD_CARD:0
CSMJ	121	MAHJONG	mahjong-standard	MAHJONG:459,POKER:0,LONG_CARD:0,WORD_CARD:0
CTPK	112	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:372,LONG_CARD:0,WORD_CARD:0
CTWSK	103	POKER	poker-pao-de-kuai	MAHJONG:9,POKER:194,LONG_CARD:0,WORD_CARD:0
CXMJ	119	MAHJONG	mahjong-standard	MAHJONG:442,POKER:0,LONG_CARD:0,WORD_CARD:0
CXYXMJ	95	MAHJONG	mahjong-standard	MAHJONG:287,POKER:0,LONG_CARD:0,WORD_CARD:0
CYLYMJ	114	MAHJONG	mahjong-lai-zi	MAHJONG:404,POKER:0,LONG_CARD:0,WORD_CARD:0
CZCZMJ	106	MAHJONG	mahjong-lai-zi	MAHJONG:492,POKER:0,LONG_CARD:0,WORD_CARD:30
CZDZMJ	105	MAHJONG	mahjong-standard	MAHJONG:281,POKER:0,LONG_CARD:0,WORD_CARD:0
CZMJ	97	MAHJONG	mahjong-standard	MAHJONG:345,POKER:0,LONG_CARD:0,WORD_CARD:0
DCTS	108	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:209,LONG_CARD:0,WORD_CARD:0
DCWDMJ	99	MAHJONG	mahjong-lai-zi	MAHJONG:400,POKER:0,LONG_CARD:0,WORD_CARD:0
DCZBMJ	97	MAHJONG	mahjong-lai-zi	MAHJONG:370,POKER:0,LONG_CARD:0,WORD_CARD:0
DD	113	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:256,LONG_CARD:0,WORD_CARD:0
DDA	119	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:239,LONG_CARD:0,WORD_CARD:0
DDZ	122	POKER	poker-pao-de-kuai	MAHJONG:4,POKER:183,LONG_CARD:0,WORD_CARD:0
DEMOMJ	89	MAHJONG	mahjong-xue-zhan	MAHJONG:278,POKER:0,LONG_CARD:0,WORD_CARD:0
DGLZ	118	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:211,LONG_CARD:0,WORD_CARD:0
DHD	90	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:119,LONG_CARD:0,WORD_CARD:0
DKGMJ	102	MAHJONG	mahjong-xue-zhan	MAHJONG:385,POKER:0,LONG_CARD:0,WORD_CARD:0
DLE	139	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:828,LONG_CARD:0,WORD_CARD:0
DLQHMJ	98	MAHJONG	mahjong-standard	MAHJONG:412,POKER:0,LONG_CARD:0,WORD_CARD:0
DNMJ	106	MAHJONG	mahjong-standard	MAHJONG:325,POKER:0,LONG_CARD:0,WORD_CARD:0
DPHMJ	92	MAHJONG	mahjong-lai-zi	MAHJONG:368,POKER:0,LONG_CARD:0,WORD_CARD:3
DQDZ	120	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:283,LONG_CARD:0,WORD_CARD:0
DSMJ	101	MAHJONG	mahjong-standard	MAHJONG:369,POKER:0,LONG_CARD:0,WORD_CARD:0
DTLGFMJ	100	MAHJONG	mahjong-standard	MAHJONG:403,POKER:0,LONG_CARD:0,WORD_CARD:0
DTMJ	113	MAHJONG	mahjong-lai-zi	MAHJONG:446,POKER:0,LONG_CARD:0,WORD_CARD:0
DX	110	POKER	poker-trick-taking	MAHJONG:1,POKER:186,LONG_CARD:0,WORD_CARD:0
DXBJMJ	107	MAHJONG	mahjong-standard	MAHJONG:328,POKER:0,LONG_CARD:0,WORD_CARD:0
DYMJ	98	MAHJONG	mahjong-lai-zi	MAHJONG:357,POKER:0,LONG_CARD:0,WORD_CARD:0
DZMJ	158	MAHJONG	mahjong-standard	MAHJONG:674,POKER:0,LONG_CARD:0,WORD_CARD:11
DZPK	117	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:365,LONG_CARD:0,WORD_CARD:0
DZSJZMJ	100	MAHJONG	mahjong-standard	MAHJONG:414,POKER:0,LONG_CARD:3,WORD_CARD:0
DZZJ	112	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:205,LONG_CARD:0,WORD_CARD:0
EQW	123	POKER	poker-pao-de-kuai	MAHJONG:6,POKER:241,LONG_CARD:0,WORD_CARD:0
ERDDZ	127	POKER	poker-pao-de-kuai	MAHJONG:3,POKER:146,LONG_CARD:0,WORD_CARD:0
